org,repo,datalake,github
Microsoft,powerbi-visuals-enhancedscatter,17,18
Microsoft,ghcrawler-dashboard,87,76
Microsoft,ProjectScotty,3,3
Microsoft,sherlock-oms-ct,6,6
Microsoft,WinDevPlatStatus,9,10
Microsoft,developer-immersion-data,30,36
Microsoft,ghcrawler-cli,28,31
Microsoft,kaizala-docs,12,12
Microsoft,ghcrawler-datalake-etl,33,61
Microsoft,mtc-hacks,2,2
Microsoft,omi-kits,2,4
Microsoft,BotBuilder-Speech,0,3
Microsoft,transfer_url_test_2,0,4
Microsoft,PowerBI-visuals-forcastingarima-interactive,0,3
Microsoft,NetAdapter-Cx-Driver-Samples,10,14
Microsoft,healthvault-fhir-library,4,5
Microsoft,lsvmtools,15,15
Microsoft,TypeScript-React-Starter,6,5
Microsoft,photo-inspector,72,72
Microsoft,media-viewer,6,6
Microsoft,angle,6768,6755
Microsoft,cocos2d-x-3rd-party-libs-bin,526,524
Microsoft,.NET-Micro-Framework,1,1
Microsoft,js-example-fraud-score,12,12
Microsoft,vso-agent,747,683
Microsoft,ApplicationInsights-Ruby,91,44
Microsoft,poshtools,1474,1459
Microsoft,moodle-filter_oembed,264,78
Microsoft,msosscentralcontent-PRIVATE,15592,15592
Microsoft,osscontent-for-DPS-PRIVATE,15595,15595
Microsoft,docker,23742,23680
Microsoft,elasticsearch,10705,10705
Microsoft,SecureFirmware32,82,82
Microsoft,ApplicationInsights-aspnetcore,865,714
Microsoft,distribution,860,860
Microsoft,azure-content,35920,35913
Microsoft,federalist,742,737
Microsoft,tslint-microsoft-contrib,654,499
Microsoft,TACO,2186,2117
Microsoft,VisualCpp,1,1
Microsoft,vscode-editorconfig,70,60
Microsoft,vscode-samples,25,29
Microsoft,cordova-simulate,484,341
Microsoft,vscode-extension-vscode,169,0
Microsoft,ospo-witty-issues,5,5
Microsoft,GraphView,185,168
Microsoft,ServiceProfiler,1,0
Microsoft,OMS-docker,102,48
Microsoft,libobjc2,902,902
Microsoft,windows-10-technet,15,15
Microsoft,vsts-extension-telemetry-service,2,2
Microsoft,thrifty,484,359
Microsoft,win-cpub-itpro-docs,11009,10600
Microsoft,dotnet-computevirtualization,57,55
Microsoft,vscode-sign-worker,7,7
Microsoft,GalaxyExplorer,178,114
Microsoft,Dynamics-AX-Extensible-Control-Samples,24,24
Microsoft,Docker-PowerShell,304,276
Microsoft,vcc,8,7
Microsoft,Windows-appsample-familynotes,14,13
Microsoft,RetryOperationHelper,16,16
Microsoft,ws2016lab-private,252,311
Microsoft,u-boot-iMX6,29714,29714
Microsoft,vsts-urbancode-deploy,26,26
Microsoft,OMS-Ingestion-API-Binding-Ruby,37,37
Microsoft,hyperv-intern2016,205,203
Microsoft,BLTest2,1,1
Microsoft,Cognitive-Vision-Android,33,32
Microsoft,mwt-ds-web-api-deprecated-,17,17
Microsoft,HoloLensCompanionKit,136,141
Microsoft,visualstudio.xunit-msft,122,122
Microsoft,UWPExperiences,225,224
Microsoft,iCMS_WDG_Pilot_II_Prod_ko-KR,1039,1046
Microsoft,iCMS_WDG_Pilot_II_Prod_sv-SE,1108,1115
Microsoft,mstest.testframework,1,0
Microsoft,Bing-Maps-V8-TypeScript-Definitions,79,79
Microsoft,loader-set-webpack-public-path,46,0
Microsoft,templates.starterkit,5,5
Microsoft,BPerf,1,2
Microsoft,IIS.WebManager,47,79
Microsoft,Techcon_dogfooding_pt-BR,14,0
Microsoft,Techcon_dogfooding_fr-FR,8,0
Microsoft,tedchambDocTest,278,297
Microsoft,techcon_test_MT,2,2
Microsoft,vsts-rm-artifactdownloader,1,1
Microsoft,BotBuilder-Samples,366,303
Microsoft,pxt-calliope-core,351,351
Microsoft,sample-repo-gen-tool,5,5
Microsoft,dotnet-framework-docker,35,31
Microsoft,vs-validation,337,343
Microsoft,ApplicationInsights-generator,3,3
Microsoft,DevSkim-VisualStudio,0,0
Microsoft,ospo-ghtorrent-ansible,29,29
Microsoft,MLClusterNotebook,1,1
Microsoft,sp-dev-docs.ja_jp,12,17
